,isbn10,BibNum,title,subtitle,authors,categories,description,avg_rating,num_pages,num_ratings,best_seller,rank,price,weeks_on_list,publisher,publication_date,Subjects,ItemType,Checkouts_2005,Checkouts_2006,Checkouts_2007,Checkouts_2008,Checkouts_2009,Checkouts_2010,Checkouts_2011,Checkouts_2012,Checkouts_2013,Checkouts_2014,Checkouts_2015,Checkouts_2016,Checkouts_2017
12,0671417010,301621.0,Confessions of an Actor,Laurence Olivier an Autobiography/#07444,Laurence Oliver,Performing Arts,"An autobiography by the English actor discusses his theatrical and film career and offers a candid account of his personal life, focusing on his relationship with actress Vivien Leigh",3.7,348.0,275.5,0,-1.0,-1.0,-1.0,Simon & Schuster,12/31/1982,"Olivier Laurence 1907 1989, Actors Great Britain Biography",acbk,2.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0
13,0674990463,304378.0,Metamorphoses,In Two Volumes,Ovid/Frank Justus Miller,"Mythology, Classical",None,4.42,496.0,785.0,0,-1.0,-1.0,-1.0,Harvard University Press,1/1/1977,None,acbk,3.0,1.0,7.0,5.0,3.0,6.0,4.0,1.0,4.0,1.0,5.0,3.0,2.0
14,0316545031,342629.0,"Last Lion, The: Volume 1",Winston Churchill Visions of Glory 1874 - 1932,William Manchester,Biography & Autobiography,"The first volume in William Manchester's masterful, magnum opus account of Winston Churchill's life. The Last Lion: Visions of Glory follows the first fifty-eight years of Churchill's life--the years that mold him into the man who will become one of the most influential politicians of the twentieth century. In this, the first volume, Manchester follows Churchill from his birth to 1932, when he began to warn against the re-militarization of Germany. Born of an American mother and the gifted but unstable son of a duke, his childhood was one of wretched neglect. He sought glory on the battlefields of Cuba, Sudan, India, South Africa and the trenches of France. In Parliament he was the prime force behind the creation of Iraq and Jordan, laid the groundwork for the birth of Israel, and negotiated the independence of the Irish Free State. Yet, as Chancellor of the Exchequer he plunged England into economic crisis, and his fruitless attempt to suppress Gandhi's quest for Indian independence brought political chaos to Britain. Throughout, Churchill learned the lessons that would prepare him for the storm to come, and as the 1930's began, he readied himself for the coming battle against Nazism--an evil the world had never before seen.",4.425,992.0,331.5,0,-1.0,-1.0,-1.0,Little  Brown & Company,5/30/1983,"Churchill Winston 1874 1965, Great Britain Politics and government 20th century, Great Britain Foreign relations 20th century",acbk,7.0,8.0,6.0,11.0,9.0,12.0,9.0,13.0,40.0,16.0,17.0,10.0,8.0
15,0679723692,348541.0,Cathedral,Stories,Raymond Carver,Fiction,"Twelve stories deal with loneliness, loss, the tragic banality of everyday life, and redemption.",4.285,230.0,21517.5,0,-1.0,-1.0,-1.0,Vintage Contemporaries,6/18/1989,Short stories,acbk,16.0,42.0,57.0,49.0,25.0,15.0,21.0,32.0,42.0,30.0,61.0,46.0,46.0
16,0811208990,377513.0,Selected Poems,None,Octavio Paz;G. Aroul,Poetry,"Poems deal with death, nature, the past, art, perception, love, travel, communication, and truth",4.21,160.0,366.0,0,-1.0,-1.0,-1.0,New Directions,9/17/1984,Paz Octavio 1914 1998 Translations into English,acbk,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
17,0940450208,385134.0,The Leatherstocking Tales  Vol. 1: The Pioneers / The Last of the Mohicans / The Prairie,The Pioneers; the Last of the Mohicans; the Prairie,James Fenimore Cooper,"Bumppo, Natty (Fictitious character)","Natty Bumpo and Chingachgook, bring alive the early 1700's when Americans, French, and Huron were fighting for the vast, uncharted wilderness.",3.875,1347.0,346.0,0,-1.0,-1.0,-1.0,Library of America,7/1/1985,"Bumppo Natty Fictitious character Fiction, Historical fiction American, United States History Colonial period ca 1600 1775 Fiction",acbk,9.0,1.0,9.0,5.0,9.0,5.0,7.0,6.0,8.0,3.0,4.0,1.0,8.0
18,0879100362,385762.0,Harpo Speaks!,None,Harpo Marx/Rowland Barber,Biography & Autobiography,Depicts the personal life of Harpo Marx and traces his career as a member of the Marx Brothers comedy team,4.405,482.0,1970.0,0,-1.0,-1.0,-1.0,Limelight Editions,7/1/2004,"Marx Harpo 1888 1964, Comedians United States Biography, Motion picture actors and actresses United States Biography",acbk,7.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,19.0,29.0,9.0,12.0
19,0312643063,395260.0,The Price of the Ticket,"Collected Nonfiction, 1948-1985",James Baldwin,Literary Criticism,"The works of James Baldwin constitute one of the major contributions to American literature in the twentieth century, and nowhere is this more evident than in The Price of the Ticket, a compendium of nearly fifty years of Baldwin's powerful nonfiction writing. With truth and insight, these personal, prophetic works speak to the heart of the experience of race and identity in the United States. Here are the full texts of Notes of a Native Son, Nobody Knows My Name, The Fire Next Time, No Name in the Street, and The Devil Finds Work, along with dozens of other pieces, ranging from a 1948 review of Raintree Country to a magnificent introduction to this book that, as so many of Mr. Baldwin's works do, combines his intensely private experience with the deepest examination of social interaction between the races. In a way, The Price of the Ticket is an intellectual history of the twentieth-century American experience; in another, it is autobiography of the highest order.",4.7,712.0,400.0,0,-1.0,-1.0,-1.0,St. Martin's Press,9/15/1985,None,arbk,1.0,5.0,3.0,0.0,5.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0
20,0292760280,407067.0,100 Love Sonnets,Cien sonetos de amor,Pablo Neruda,Poetry,Poems explore the depths of the distinguished Chilean writer's love for his wife,4.395,232.0,12448.5,0,-1.0,-1.0,-1.0,University of Texas Press,1/1/1986,"Love poetry Chilean Translations into English, Sonnets Chilean Translations into English, Love poetry Chilean, Sonnets Chilean",acbk,10.0,23.0,19.0,14.0,15.0,13.0,10.0,5.0,10.0,13.0,7.0,6.0,10.0
21,0394800915,411496.0,Dr. Seuss's Sleep Book,None,,Juvenile Fiction,"Tells, in verse, what happens when all ninety-nine zillion nine trillion and three creatures in the world go to sleep.",4.17,58.0,8825.0,0,-1.0,-1.0,-1.0,New York: Random House,7/24/2012,"Stories in rhyme, Fantasy",jcbk,94.0,144.0,177.0,154.0,144.0,152.0,121.0,56.0,51.0,26.0,374.0,336.0,343.0
