,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
493,0316055433,9780316055437,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"Tartt, Donna",1st,Hardcover,"Little, Brown and Company",2013
494,0812988418,9780812988413,When Breath Becomes Air,"Kalanithi, Paul",1,Kindle Edition,Random House,2016
495,0763676713,9780763676711,Flora and Ulysses: The Illuminated Adventures,"DiCamillo, Kate",Reprint,Paperback,Candlewick,2015
496,0316080845,9780316080842,"Black Butler, Vol. 1 (Black Butler (1))","Toboso, Yana",1,Paperback,Yen Press,2013
497,0316007544,9780316007542,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"Luttrell, Marcus",Illustrated,Kindle Edition,"Little, Brown and Company",2007
498,0316272620,9780316272629,"Middle School: Escape to Australia (Middle School, 9)","Patterson, James",Illustrated,Hardcover,jimmy patterson,2017
499,1609611543,9781609611545,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,1,Hardcover,Rodale Books,2011
500,1609611543,9781609611545,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,1,Hardcover,Rodale Books,2011
501,0316204366,9780316204361,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Illustrated,Hardcover,"Little, Brown and Company",2013
502,0316204366,9780316204361,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Illustrated,Hardcover,"Little, Brown and Company",2013
503,1419721372,9781419721373,"Ada Twist, Scientist","Beaty, Andrea",Illustrated,Hardcover,Harry N. Abrams,2016
504,1401927181,9781401927189,The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,1st,Spiral-bound,Hay House,2009
505,0399181776,9780399181771,Minecraft: The Island: An Official Minecraft Novel,"Brooks, Max",Media tie-in,Hardcover,Random House Worlds,2017
