,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
641,0307946711,9780307946713,One Day (Movie Tie-in Edition) (Vintage Contemporaries),"Nicholls, David",Media tie-in,Paperback,Vintage,2011
642,0785134352,9780785134350,Kick-Ass,Mark Millar,1st Edition,Hardcover,Marvel Publications,2010
643,0761159134,9780761159131,Unlikely Friendships: 47 Remarkable Stories from the Animal Kingdom,"Holland, Jennifer S.",Illustrated,Paperback,Workman Publishing Company,2011
644,0544107713,9780544107717,The Crossover (The Crossover Series),"Alexander, Kwame",Later Printing,Hardcover,HMH Books for Young Readers,2014
645,0307387097,9780307387097,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,"Kristof, Nicholas D.; WuDunn, Sheryl",Illustrated,Paperback,Vintage,2010
646,0307450732,9780307450739,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,"Michaels, Jillian; van Aalst, Mariska",1,Hardcover,Harmony,2009
647,0805096671,9780805096675,Killing Kennedy: The End of Camelot (Bill O'Reilly's Killing Series),"O'Reilly, Bill; Dugard, Martin",First,Kindle Edition,Henry Holt and Co.,2012
648,0062422502,9780062422507,"Dear Girl,: A Celebration of Wonderful, Smart, Beautiful You!","Rosenthal, Amy Krouse; Rosenthal, Paris",Illustrated,Hardcover,HarperCollins,2017
649,080509668X,9780805096682,Killing Patton: The Strange Death Of World War Ii's Most Audacious General,"O'reilly, Bill (author.)",,1,"Henry Holt And Company,",2014
650,1481438255,9781481438254,Long Way Down,"Reynolds, Jason",First Edition,Hardcover,Atheneum/Caitlyn Dlouhy Books,2017
651,0061781231,9780061781230,Silverlicious (Pinkalicious),"Kann, Victoria",Illustrated,Hardcover,HarperCollins,2011
652,1401229891,9781401229894,Batman: Time and the Batman,"Morrison, Grant",First Edition,Hardcover,DC Comics,2011
653,0553496689,9780553496680,"The Sun Is Also a Star (Yoon, Nicola)","Yoon, Nicola",Illustrated,Hardcover,Delacorte Press,2016
654,0062060015,9780062060013,The One (The Selection Book 3),"Cass, Kiera",Reprint,Kindle Edition,HarperTeen,2014
655,1439168571,9781439168578,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Beck, Glenn",Illustrated,Paperback,Threshold Editions,2009
656,1582407754,9781582407753,"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,Illustrated,Paperback,Image Comics,2009
657,1582407754,9781582407753,"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,Illustrated,Paperback,Image Comics,2009
658,0399252517,9780399252518,Brown Girl Dreaming (Newbery Honor Book),"Woodson, Jacqueline",Illustrated,Hardcover,Nancy Paulsen Books,2014
659,0545919738,9780545919739,"I Survived the American Revolution, 1776 (I Survived #15)","Tarshis, Lauren",Illustrated,Paperback,Scholastic Paperbacks,2017
660,0545825016,9780545825016,Study Hall of Justice (DC Comics: Secret Hero Society #1),"Fridolfs, Derek",,Hardcover,Scholastic Inc.,2016
661,1101939842,9781101939840,The Amazing Book Is Not on Fire: The World of Dan and Phil,"Howell, Dan; Lester, Phil",Illustrated,Hardcover,Random House Books for Young Readers,2015
662,1416989560,9781416989561,Dark Visions: The Strange Power; The Possessed; The Passion,"Smith, L.J.",Bind-Up,Paperback,Simon Pulse,2009
663,0062194755,9780062194756,The Fate of Ten (Lorien Legacies),"Lore, Pittacus",First Edition,Hardcover,HarperCollins,2015
664,0307272117,9780307272119,The Girl with the Dragon Tattoo (Millennium Series Book 1),"Larsson, Stieg",2,Kindle Edition,Vintage Crime/Black Lizard,2008
665,0061910244,9780061910241,Pete the Cat: Rocking in My School Shoes,"Litwin, Eric",Illustrated,Hardcover,HarperCollins,2011
666,037583527X,9780375835278,Of Thee I Sing: A Letter to My Daughters,Barack Obama,1st,Hardcover,Knopf Books for Young Readers,2010
667,0803740166,9780803740167,Roller Girl,"Jamieson, Victoria",Illustrated,Paperback,Dial Books,2015
668,0446547573,9780446547574,Safe Haven,"Sparks, Nicholas",Reissue,Mass Market Paperback,Grand Central Publishing,2012
669,0345803574,9780345803573,Fifty Shades Trilogy Bundle: Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"James, E L",51,Kindle Edition,Vintage,2012
670,1400052173,9781400052172,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca",Illustrated,Hardcover,Crown,2010
671,1501112333,9781501112331,"In a Dark, Dark Wood","Ware, Ruth",Reprint,Paperback,Gallery/Scout Press,2016
672,0310321913,9780310321910,One Thousand Gifts: A Dare to Live Fully Right Where You Are,"Voskamp, Ann",1st,Hardcover,Zondervan,2011
673,0062082353,9780062082350,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Kyle, Chris; McEwen, Scott; DeFelice, Jim",Hardcover Edition,Hardcover,William Morrow,2012
674,0062082353,9780062082350,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Kyle, Chris; McEwen, Scott; DeFelice, Jim",Hardcover Edition,Hardcover,William Morrow,2012
675,030796003X,9780307960030,The Night Before Christmas (Little Golden Book),"Moore, Clement C.",First Edition,Hardcover,Golden Books,2001
676,039333838X,9780393338386,The Blind Side,Michael Lewis,Movie Tie-in,Hardcover,W.W. Norton & Company,2022
677,0375714839,9780375714832,The Complete Persepolis,"Satrapi, Marjane",Media tie-in,Paperback,Pantheon,2007
678,1607068184,9781607068181,The Walking Dead Volume 19: March to War (Walking Dead (6 Stories)),Robert Kirkman,Illustrated,Paperback,Image Comics,2013
679,1607068184,9781607068181,The Walking Dead Volume 19: March to War (Walking Dead (6 Stories)),Robert Kirkman,Illustrated,Paperback,Image Comics,2013
680,0143126814,9780143126812,In the Heart of the Sea (Movie Tie-In): The Tragedy of the Whaleship Essex,"Philbrick, Nathaniel",Reprint,Paperback,Penguin Books,2015
681,0062213423,9780062213426,One Direction: Dare to Dream: Life as One Direction,One Direction,First Edition,Paperback,HarperCollins,2012
682,0062194771,9780062194770,The Fate of Ten (Lorien Legacies Book 6),"Lore, Pittacus",Reprint,Kindle Edition,HarperCollins,2015
683,1616559454,9781616559458,Fight Club 2 (Graphic Novel),"Palahniuk, Chuck",Illustrated,Hardcover,Dark Horse Books,2016
684,1421585650,9781421585659,"One-Punch Man, Vol. 2 (2)",ONE,1,Paperback,VIZ Media LLC,2015
685,0553418351,9780553418354,Gone Girl,"Flynn, Gillian",,Mass Market Paperback,Broadway Books,2014
686,0062190040,9780062190048,The Nazi Officer's Wife: How One Jewish Woman Survived The Holocaust,"Beer, Edith H.; Dworkin, Susan",2,Kindle Edition,William Morrow,2012
687,0307474712,9780307474711,One Day (Vintage Contemporaries),"Nicholls, David",1st Edition,Paperback,Vintage,2010
688,0156027321,9780156027328,Life Of Pi,"Martel, Yann","First Harvest , 2003",Paperback,Mariner Books,2003
689,0805096663,9780805096668,Killing Kennedy: The End of Camelot,"O'Reilly, Bill; Dugard, Martin",First,Hardcover,Henry Holt and Co.,2012
690,0805096663,9780805096668,Killing Kennedy: The End of Camelot,"O'Reilly, Bill; Dugard, Martin",First,Hardcover,Henry Holt and Co.,2012
691,044042321X,9780440423218,A Game of Thrones: The Graphic Novel: Volume One,"Martin, George R. R.",Illustrated,Hardcover,Bantam,2012
692,006242713X,9780062427137,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)","Gundry MD, Dr. Steven R",1,Hardcover,Harper Wave,2017
693,0997895810,9780997895810,Goodnight Stories for Rebel Girls: 100 Tales of Extraordinary Women,"Rebel Girls; Cavallo, Francesca; Elena Favilli",Illustrated,Hardcover,Rebel Girls,2016
694,1982127791,9781982127794,"Stephen King Collection 4 Books Set (Pet Sematary, The Shining, It, Doctor Sleep)",Stephen King,,Paperback,Hodder Paperbacks,2019
695,1416543074,9781416543077,Women Food and God: An Unexpected Path to Almost Everything,"Roth, Geneen",,Hardcover,Scribner,2010
696,0525953728,9780525953722,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,"Owen, Mark; Maurer, Kevin",First Edition,Hardcover,DUTTON Books,2012
697,1484712374,9781484712375,"Rick Riordan Collection 4 Books Set (Percy Jackson and the Greek Gods, Percy Jackson and the Greek Heroes, Demigods & Magicians [Hardcover], Percy Jackson and the Singer of Apollo)",Rick Riordan,Reprint,Paperback,Puffin,2020
698,1455508977,9781455508976,The Lucky One,"Sparks, Nicholas",Media tie-in,Mass Market Paperback,Grand Central Publishing,2012
699,0393061027,9780393061024,The Book of Genesis Illustrated by R. Crumb,"Crumb, R.",Illustrated,Hardcover,W. W. Norton & Company,2009
700,1400209609,9781400209606,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Hollis, Rachel",Illustrated,Hardcover,"Hollis, Rachel",2019
701,0143130153,9780143130154,Me Before You: A Novel (Movie Tie-In),"Moyes, Jojo",Media Tie In,Paperback,Penguin Books,2016
702,0446563048,9780446563048,"Delivering Happiness: A Path to Profits, Passion, and Purpose","Hsieh, Tony",1,Hardcover,Grand Central Publishing,2010
703,1419719025,9781419719028,Alamo All-Stars (Nathan Hale's Hazardous Tales #6): A Texas Tale (Volume 6),"Hale, Nathan",Illustrated,Hardcover,Amulet Books,2016
704,0553446754,9780553446753,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik",Reprint,Kindle Edition,Crown,2015
705,0553446754,9780553446753,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik",Reprint,Kindle Edition,Crown,2015
706,0735219117,9780735219113,Where the Crawdads Sing,"Owens, Delia",3,Kindle Edition,G.P. Putnam's Sons,2018
707,1595142509,9781595142504,Spirit Bound,Richelle Mead,,Hardcover,Razorbill,2010
708,0307887960,9780307887962,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever","Dukan, Pierre",1st,Kindle Edition,Harmony,2011
709,1484711874,9781484711873,Serafina and the Black Cloak (The Serafina Series Book 1) (Serafina (1)),"Beatty, Robert",Reprint,Paperback,Disney-Hyperion,2016
710,1501106422,9781501106422,Still Alice,"Genova, Lisa",Media Tie-In,Paperback,Gallery Books,2014
711,1484746422,9781484746424,"Trials of Apollo, The Book Two: Dark Prophecy, The-Trials of Apollo, The Book Two","Riordan, Rick",First Edition and Exclusive Edition,Hardcover,Disney Hyperion,2017
712,0316129178,9780316129176,Beautiful Darkness (Beautiful Creatures Book 2),"Garcia, Kami; Stohl, Margaret",1,Kindle Edition,"Little, Brown Books for Young Readers",2010
713,0316129178,9780316129176,Beautiful Darkness (Beautiful Creatures Book 2),"Garcia, Kami; Stohl, Margaret",1,Kindle Edition,"Little, Brown Books for Young Readers",2010
714,1455588997,9781455588992,The Choice,"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2015
715,1455588997,9781455588992,The Choice,"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2015
716,0525563709,9780525563709,"Robert Langdon Series Collection 7 Books Set By Dan Brown (Angels And Demons, The Da Vinci Code, The Lost Symbol, Inferno, Origin, Digital Fortress, Deception Point)",Dan Brown,,Paperback,Corgi,2018
717,141970933X,9781419709333,Emperor Pickletine Rides the Bus (Origami Yoda),"Angleberger, Tom",Illustrated,Hardcover,Harry N. Abrams,2014
718,1607063298,9781607063292,"The Walking Dead, Vol. 13: Too Far Gone",Robert Kirkman,Illustrated,Paperback,Image Comics,2010
719,1501156896,9781501156892,Rush Revere and the Presidency (5),"Limbaugh, Rush; Adams Limbaugh, Kathryn",2nd,Hardcover,Threshold Editions,2016
720,0375424334,9780375424335,Building Stories (Pantheon Graphic Library),"Ware, Chris",2nd ed.,Hardcover,Pantheon,2012
721,082340417X,9780823404179,The Night Before Christmas,"Moore, Clement C.",Abridged,Paperback,Holiday House,1980
722,0307977617,9780307977618,Everything I Need To Know I Learned From a Little Golden Book (Little Golden Books (Random House)),"Muldrow, Diane",Illustrated,Hardcover,Golden Books,2013
723,0547345666,9780547345666,The Handmaid's Tale,"Atwood, Margaret",1,Kindle Edition,Houghton Mifflin Harcourt,1986
724,1592407331,9781592407330,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,1,Hardcover,Avery,2012
725,1455556564,9781455556564,The Best of Me (Movie Tie-In),"Sparks, Nicholas",Media tie-in,Mass Market Paperback,Grand Central Publishing,2014
726,1501135929,9781501135927,"Zero to One, Start Now Get Perfect Later, Shoe Dog A Memoir by the Creator of Nike, [Hardcover] Crushing It 4 Books Collection Set","Phil Knight, Peter Thiel with Blake Masters; Gary Vaynerchuk, Rob Moore",,Paperback,Virgin Books/John Murray Learning/Simon & Schuster UK/HarperCollins,2020
727,1501135929,9781501135927,"Zero to One, Start Now Get Perfect Later, Shoe Dog A Memoir by the Creator of Nike, [Hardcover] Crushing It 4 Books Collection Set","Phil Knight, Peter Thiel with Blake Masters; Gary Vaynerchuk, Rob Moore",,Paperback,Virgin Books/John Murray Learning/Simon & Schuster UK/HarperCollins,2020
728,0316349542,9780316349543,"Dogs Best Friend,Just My Rotten Luck,Save Rafe,How I survived Bullies,Broccoli,And Snake Hill,My Brother Is A Big Fat Liar...",James Patterson,1,Paperback,Arrow (Young),2019
729,0545942152,9780545942157,A Graphix Book: Wings of Fire Graphic Novel #1: The Dragonet Prophecy,"Sutherland, Tui T.",Illustrated,Paperback,Graphix,2018
730,0062363611,9780062363619,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,"Shetterly, Margot Lee",Illustrated,Kindle Edition,William Morrow,2016
731,031612737X,9780316127370,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,1,Hardcover,"Little, Brown Spark",2012
732,031612737X,9780316127370,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,1,Hardcover,"Little, Brown Spark",2012
733,0545123267,9780545123266,Shiver,Maggie Stiefvater,1,Hardcover,Scholastic Press,2009
734,0525620931,9780525620938,The Reckoning: A Novel,"Grisham, John",Reprint,Mass Market Paperback,Dell,2019
735,0446567329,9780446567329,Dear John,"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2009
736,0553524267,9780553524260,What Pet Should I Get? (Classic Seuss),Dr. Seuss,Illustrated,Hardcover,Random House Books for Young Readers,2015
737,0547848412,9780547848419,Life of Pi,"Martel, Yann",,Paperback,Mariner Books,2012
738,0448489325,9780448489322,Love from The Very Hungry Caterpillar (The World of Eric Carle),"Carle, Eric",Illustrated,Hardcover,World of Eric Carle,2015
739,1501154656,9781501154652,"Lisa Jewell 6 Books Collection Set Series 1 (The Family Upstairs, The House We Grew Up In, Then She Was Gone, I Found You, The Girls, Before I Met You)",Lisa Jewell,,Paperback,Arrow,2019
740,0385739133,9780385739139,Fallen,"Kate, Lauren",First Edition,Paperback,Ember,2010
741,0446562432,9780446562430,Witch & Wizard (Witch & Wizard (1)),"Patterson, James; Charbonnet, Gabrielle",Reissue,Mass Market Paperback,jimmy patterson,2011
742,1101972971,9781101972977,Inferno (movie Tie-in Edition) (robert Langdon),Dan Brown,,Paperback,Anchor,2016
743,0425274861,9780425274866,"Liane Moriarty Collection 8 Books Set (The Hypnotist's Love Story,The Last Anniversary,What Alice Forgot,The Husband's Secret,Three Wishes,Big Little Lies,Nine Perfect Strangers,Truly Madly Guilty)",Liane Moriarty,,Paperback,Penguin,2020
744,0425274861,9780425274866,"Liane Moriarty Collection 8 Books Set (The Hypnotist's Love Story,The Last Anniversary,What Alice Forgot,The Husband's Secret,Three Wishes,Big Little Lies,Nine Perfect Strangers,Truly Madly Guilty)",Liane Moriarty,,Paperback,Penguin,2020
745,148471511X,9781484715116,Serafina and the Black Cloak,"Beatty, Robert",,Kindle Edition,Disney Hyperion,2015
746,1400078458,9781400078455,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,"Grann, David",~,Paperback,Vintage,2010
747,1481409204,9781481409209,Story Thieves (1),"Riley, James",Reprint,Paperback,Aladdin,2015
748,1481409204,9781481409209,Story Thieves (1),"Riley, James",Reprint,Paperback,Aladdin,2015
749,0385504225,9780385504225,The Lost Symbol,"Brown, Dan",1st,Hardcover,Doubleday,2009
750,0399544275,9780399544279,Who Was Alexander Hamilton?,"Pollack, Pam; Belviso, Meg; Who HQ",Illustrated,Paperback,Penguin Workshop,2017
751,0316475114,9780316475112,Little Leaders: Bold Women in Black History (Vashti Harrison),"Harrison, Vashti",Illustrated,Hardcover,"Little, Brown Books for Young Readers",2017
752,0062423029,9780062423023,Broken Throne: A Red Queen Collection,"Aveyard, Victoria",Illustrated,Hardcover,HarperTeen,2019
753,141697587X,9781416975878,"Clockwork Angel (Infernal Devices, Book 1) (The Infernal Devices)","Clare, Cassandra",Reprint,Paperback,Margaret K. McElderry Books,2011
754,038534919X,9780385349192,"Things That Matter: Three Decades of Passions, Pastimes and Politics","Krauthammer, Charles",Reprint,Paperback,Crown Forum,2015
755,0545403359,9780545403351,War Horse: (Movie Cover),"Morpurgo, Michael","Media Tie In, Reprint",Paperback,Scholastic Press,2011
756,110191176X,9781101911761,We Should All Be Feminists,"Adichie, Chimamanda Ngozi",Reprint,Paperback,Anchor Books,2022
757,0143127551,9780143127550,Everything I Never Told You,"Ng, Celeste",Reprint,Paperback,Penguin Books,2015
758,0060936223,9780060936228,Just Kids,"Smith, Patti",Illustrated,Paperback,Ecco,2010
759,140031870X,9781400318704,Heaven is for Real for Kids: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Illustrated,Hardcover,Thomas Nelson,2011
760,1455508969,9781455508969,The Lucky One,"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2012
761,0385537867,9780385537865,Inferno: A Novel (Robert Langdon Book 4),"Brown, Dan",First Edition,Kindle Edition,Anchor,2013
762,0763660655,9780763660659,A Monster Calls: Inspired by an idea from Siobhan Dowd,"Ness, Patrick",Illustrated,Paperback,Candlewick,2013
763,0061767581,9780061767586,L.A. Candy,"Conrad, Lauren",,Hardcover,HarperCollins,2009
764,075669812X,9780756698126,LEGO NINJAGO: Character Encyclopedia,DK Publishing,Nov Har/to,Hardcover,DK Children,2012
765,0312642075,9780312642075,Everlasting: A Novel (The Immortals),"Noël, Alyson",1,Hardcover,St. Martin's Griffin,2011
766,0062024043,9780062024046,Divergent / Insurgent,Veronica Roth,1st,Hardcover,Katherine Tegen Books,2012
767,014751908X,9780147519085,The 5th Wave Movie Tie-In: The First Book of the 5th Wave,"Yancey, Rick",Media Tie In,Paperback,Speak,2015
768,0446552445,9780446552448,Chelsea Chelsea Bang Bang,"Handler, Chelsea",1,Kindle Edition,Grand Central Publishing,2010
769,1619636107,9781619636101,"Kingdom of Ash (Throne of Glass, 7)","Maas, Sarah J.",1st Edition,Hardcover,Bloomsbury YA,2018
770,0446547603,9780446547604,Safe Haven,"Sparks, Nicholas",Reprint,Paperback,Grand Central Publishing,2011
771,1455520667,9781455520664,The Longest Ride,"Sparks, Nicholas",18,Kindle Edition,Grand Central Publishing,2013
772,1596436069,9781596436060,It's a Book,"Smith, Lane",Illustrated,Hardcover,Roaring Brook Press,2010
773,1101967684,9781101967683,The Whistler: A Novel,"Grisham, John",First Edition,Mass Market Paperback,Dell,2017
774,1501106473,9781501106477,Brooklyn,"Toibin, Colm",Media Tie-In,Paperback,Scribner,2015
775,0679766758,9780679766759,Push: A Novel,Sapphire,Reprint,Paperback,Vintage,1997
776,0393072231,9780393072235,The Big Short: Inside the Doomsday Machine,"Lewis, Michael",1st,Hardcover,W. W. Norton & Company,2010
777,0060530944,9780060530945,The Graveyard Book,"Gaiman, Neil",Reprint,Paperback,HarperCollins,2010
778,1401242340,9781401242343,Batman Vol. 3: Death of the Family (The New 52) (Batman: the New 52!),"Snyder, Scott",,Hardcover,DC Comics,2013
779,039925238X,9780399252389,The Easter Egg,"Brett, Jan",First Printing,Hardcover,G.P. Putnam's Sons Books for Young Readers,2010
780,0718079183,9780718079185,The Magnolia Story,"Gaines, Chip; Gaines, Joanna; Mark Dagostino",Illustrated,Hardcover,Thomas Nelson,2016
781,1770462082,9781770462083,"Step Aside, Pops: A Hark! A Vagrant Collection","Beaton, Kate",1st Edition,Hardcover,Drawn and Quarterly,2015
782,0448447231,9780448447230,"Who Was Martin Luther King, Jr.?","Bader, Bonnie; Who HQ",Illustrated,Paperback,Penguin Workshop,2007
783,1442411902,9781442411906,Tales from a Not-So-Talented Pop Star (Dork Diaries #3),"Russell, Rachel Renée",1st,Hardcover,Aladdin,2011
784,1423140605,9781423140603,"The Mark of Athena (Heroes of Olympus, Book 3)","Riordan, Rick",1,Hardcover,Disney-Hyperion,2012
785,0718081536,9780718081539,The Magnolia Story (with Bonus Content),"Gaines, Chip; Gaines, Joanna; Mark Dagostino",Reprint,Kindle Edition,Thomas Nelson,2016
786,031632793X,9780316327930,I Am Malala: How One Girl Stood Up for Education and Changed the World (Young Readers Edition),"Yousafzai, Malala",Young Readers ed.,Hardcover,"Little, Brown Books for Young Readers",2014
787,1250091845,9781250091840,Stars Above: A Lunar Chronicles Collection (The Lunar Chronicles),"Meyer, Marissa",,Hardcover,Feiwel & Friends,2016
788,0307272303,9780307272300,The Girl Who Played with Fire (Millennium Series Book 2),"Larsson, Stieg",1st,Kindle Edition,Vintage Crime/Black Lizard,2009
789,1421534754,9781421534756,"Naruto, Vol. 49: The Gokage Summit Commences","Kishimoto, Masashi",Illustrated,Paperback,VIZ Media LLC,2010
790,1338304518,9781338304510,Boy-Crazy Stacey (The Baby-Sitters Club Graphic Novel #7): A Graphix Book (7) (The Baby-Sitters Club Graphic Novels),"Martin, Ann M.",Illustrated,Paperback,Graphix,2019
791,0786868724,9780786868728,Have a Little Faith: A True Story,"Albom, Mitch",1,Hardcover,Hachette Books,2009
792,0375413405,9780375413407,"Mastering the Art of French Cooking, Vol. 2",Julia Child; Louisette Bertholle; Simone Beck,40th Anniversary,Hardcover,Knopf,2001
793,006228214X,9780062282149,The Truth Is a Cave in the Black Mountains: A Tale of Travel and Darkness with Pictures of All Kinds,"Gaiman, Neil",Illustrated,Hardcover,William Morrow,2014
794,1939457319,9781939457318,"The 20/20 Diet [Hardcover], Clean Eating 28-Day Plan 2 Books Collection Set",Phil McGraw; Rockridge Press,1st,Paperback,Bird Street Books/Rockridge Press,2020
795,1596916710,9781596916715,My Horizontal Life,Chelsea Handler,,,Bloomsbury Publishing Usa,2008
796,0062194747,9780062194749,The Revenge of Seven (Lorien Legacies Book 5),"Lore, Pittacus",Reprint,Kindle Edition,HarperCollins,2014
797,0061728985,9780061728983,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Harvey, Steve",Reprint,Paperback,Amistad,2011
798,0316245283,9780316245289,Miss Peregrine's Home For Peculiar Children: The Graphic Novel (Miss Peregrine's Peculiar Children: The Graphic Novel (1)),"Riggs, Ransom",1st,Hardcover,Yen Press,2013
799,0307908275,9780307908278,The Thrilling Adventures of Lovelace and Babbage: The (Mostly) True Story of the First Computer (Pantheon Graphic Library),"Padua, Sydney",Illustrated,Hardcover,Pantheon,2015
800,152479628X,9781524796280,Fire & Blood: 300 Years Before A Game of Thrones (The Targaryen Dynasty: The House of the Dragon),"Martin, George R. R.",First Editiion,Hardcover,Bantam,2018
801,0062678426,9780062678423,The Woman in the Window: A Novel,"Finn, A. J",Reprint,Paperback,William Morrow Paperbacks,2019
802,0316168815,9780316168816,The Lovely Bones,"Sebold, Alice",Reprint,Paperback,Back Bay Books,2004
803,1770462090,9781770462090,Killing and Dying,"Tomine, Adrian",1,Hardcover,Drawn and Quarterly,2015
804,1368003559,9781368003551,We Don't Eat Our Classmates,"Higgins, Ryan T.",Illustrated,Hardcover,Disney-Hyperion,2018
805,0375864350,9780375864353,The Bippolo Seed and Other Lost Stories (Classic Seuss),Dr. Seuss,Illustrated,Hardcover,Random House Books for Young Readers,2011
806,1101997699,9781101997697,The BFG Movie Tie-In,"Dahl, Roald",Media Tie In,Paperback,Puffin Books,2016
807,0062662805,9780062662804,The Poet X,"Acevedo, Elizabeth",1,Hardcover,Quill Tree Books,2018
808,0061962791,9780061962790,Inside Out and Back Again,"Lai, Thanhhà",Reprint,Paperback,HarperCollins,2013
809,0061992704,9780061992704,Sh*t My Dad Says,"Halpern, Justin",Later Printing,Hardcover,It Books,2010
810,145217380X,9781452173801,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)","Twiss, Jill; Bundo, Marlon",Illustrated,Hardcover,Chronicle Books,2018
811,0756686970,9780756686970,Lego Star Wars Character Encyclopedia,DK Publishing,Har/Toy,Hardcover,DK CHILDREN,2011
812,0061928178,9780061928178,Beautiful Ruins: A Novel,"Walter, Jess",Reprint,Paperback,Harper Perennial,2013
813,0316383295,9780316383295,"The Land of Stories: An Author's Odyssey (The Land of Stories, 5)","Colfer, Chris",Illustrated,Hardcover,"Little, Brown Books for Young Readers",2016
814,0385343841,9780385343848,The Tiger's Wife: A Novel,"Obreht, Téa",First Edition,Paperback,Random House Trade Paperbacks,2011
815,0142414727,9780142414729,Lock and Key,"Dessen, Sarah",Reprint,Paperback,Speak,2009
816,0316346799,9780316346795,"House of Robots (House of Robots, 1)","Patterson, James; Grabenstein, Chris",Illustrated,Paperback,jimmy patterson,2015
817,1582406987,9781582406985,"The Walking Dead, Book 2",Robert Kirkman,12,Paperback,Image Comics,2022
818,1439170916,9781439170915,The Emperor of All Maladies: A Biography of Cancer,"Mukherjee, Siddhartha",Reprint,Paperback,Scribner,2011
819,1416980067,9781416980063,Dork Diaries 1: Tales from a Not-So-Fabulous Life (1),"Russell, Rachel Renée",Illustrated,Hardcover,Aladdin,2009
820,0061969559,9780061969553,"I Am Number Four (Lorien Legacies, Book 1)",Pittacus Lore,1,Hardcover,Harper,2010
821,1607063271,9781607063278,"The Walking Dead, Book 6","Kirkman, Robert",Illustrated,Hardcover,Image Comics,2010
822,1501124021,9781501124020,"Ray Dalio 3 Books Collection Set (Principles Life and Work [Hardcover], Principles for Success [Hardcover], Principles for Navigating Big Debt Crises)",Ray Dalio,1,Paperback,Simon & Schuster/Avid Reader Press/Bridgewater,2019
823,1368020038,9781368020039,Hocus Pocus and the All-New Sequel,"Jantha, A. W.",1,Hardcover,Freeform,2018
824,1368020038,9781368020039,Hocus Pocus and the All-New Sequel,"Jantha, A. W.",1,Hardcover,Freeform,2018
825,0062414151,9780062414151,"Hello, Universe","Kelly, Erin Entrada",Illustrated,Hardcover,Greenwillow Books,2017
826,0385386230,9780385386234,Hilo Book 2: Saving the Whole Wide World,"Winick, Judd",Illustrated,Hardcover,Random House Books for Young Readers,2016
827,1401229689,9781401229689,Batman: The Return of Bruce Wayne,Grant Morrison,Deluxe,Hardcover,DC Comics,2011
828,0062087142,9780062087140,"Lost in Shangri-La: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II","Zuckoff, Mitchell",Reprint,Kindle Edition,HarperCollins e-books,2011
829,1492674311,9781492674313,P Is for Pterodactyl: The Worst Alphabet Book Ever,"Haldar, Raj; Carpenter, Chris",,Hardcover,Sourcebooks Explore,2018
830,1419715364,9781419715365,The Underground Abductor (Nathan Hale's Hazardous Tales #5): An Abolitionist Tale about Harriet Tubman,"Hale, Nathan",Illustrated,Hardcover,Amulet Books,2015
831,1609580427,9781609580421,The Care and Keeping of You 2: The Body Book for Older Girls,"Natterson, Cara",2,Paperback,American Girl,2013
832,1101946342,9781101946343,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),"James, E L",1,Paperback,Vintage,2015
