isbn_b,isbn_a,title,authors,publisher,publish_year
0553156500,"['0142408883', '0142409219']",Encyclopedia Brown and the Case of the Treasure Hunt (Encyclopedia Brown  #17),Donald J. Sobol/Gail Owens,Yearling,1989
0553213458,['1402725027'],Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel,Bantam Classics,1984
0553384155,"['0345464672', '0345464583', '034546463X']",Flags of Our Fathers,James D. Bradley/Ron Powers,Bantam,2006
0553480804,"['0142408883', '0142409219']",Encyclopedia Brown Solves Them All (Encyclopedia Brown  #5),Donald J. Sobol/Leonard W. Shortall,Yearling,1992
0553485172,['0142408883'],Encyclopedia Brown and the Case of the Sleeping Dog (Encyclopedia Brown  #21),Donald J. Sobol/Warren Chang,Yearling Books,1999
0553485210,['0142409219'],Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown  #22),Donald J. Sobol/Warren Chang,Yearling,2003
0553582755,['0545165571'],One Door Away from Heaven,Dean Koontz,Bantam,2002
0060004509,['0060005033'],An Old-Fashioned Thanksgiving,Louisa May Alcott/James Bernardin,HarperCollins Publishers,2005
0060511060,['0062209698'],Amelia Bedelia Goes Camping,Peggy Parish/Lynn Sweat,Greenwillow Books,2003
0060511117,['0062209698'],Amelia Bedelia Helps Out,Peggy Parish/Lynn Sweat,Greenwillow Books,2005
0060511141,"['0062209698', '0060266880']",Teach Us  Amelia Bedelia,Peggy Parish/Lynn Sweat,Greenwillow Books,2004
0060722290,['0061916048'],The Falls,Joyce Carol Oates,Harper Perennial,2005
0060724501,['0061129046'],Ready or Not (All-American Girl  #2),Meg Cabot,HarperCollins Publishers,2005
0060740450,['0060883286'],One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,Harper Perennial,2004
0060792175,['0618173870'],Everything Is Illuminated,Jonathan Safran Foer,Harper Perennial,2005
0060838582,['0395977894'],Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Harper Perennial,2005
0060838655,"['0061965588', '0062397346']",A People's History of the United States,Howard Zinn,Harper Perennial,2005
0060888695,"['0061743526', '0061120081']",To Kill a Mockingbird,Harper Lee/Sissy Spacek,Caedmon,2006
0060898526,['0060850523'],Brave New World Revisited,Aldous Huxley,Harper Perennial Modern Classics,2006
0060929871,['0060850523'],Brave New World,Aldous Huxley,HarperPerennial / Perennial Classics,1998
0060930535,['0060175400'],The Poisonwood Bible,Barbara Kingsolver,Harper Perennial,1999
0060935464,['0061120081'],To Kill a Mockingbird,Harper Lee,Harper Perennial Modern Classics,2005
0061142026,['0061142026'],Stardust,Neil Gaiman,Harper Perennial,2006
0061205699,"['0061743526', '0061120081']",To Kill a Mockingbird,Harper Lee,Harper,2006
0613647904,"['1400031346', '1400031354']",Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,Turtleback,2002
0618101365,['039592720X'],Interpreter of Maladies,Jhumpa Lahiri,Houghton Mifflin Harcourt,2000
0618680004,['0618680004'],The God Delusion,Richard Dawkins,Houghton Mifflin Co. (Boston/NY),2006
0618711651,['0618711651'],Extremely Loud and Incredibly Close,Jonathan Safran Foer,Mariner Books,2006
0679642595,['0062204092'],A Prayer for Owen Meany,John Irving,Modern Library,2002
0679643362,['0142437182'],Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,Modern Library,2006
0679867120,['0679867120'],Daisy-Head Mayzie,Dr. Seuss,Random House Books for Young Readers,1995
0689844085,['1402784066'],Robinson Crusoe,Daniel Defoe/Avi,Aladdin,2001
0689845073,['0689845073'],Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,Atheneum Books for Young Readers,2006
0689875347,['0385732317'],A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,Simon and Schuster,2003
0713997273,['0316172324'],Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Penguin,2005
0007149824,['0060296968'],The Yiddish Policemen's Union,Michael Chabon,HarperCollins,2007
0007171994,['0062063502'],The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,HarperCollins Publishers Ltd,2003
0007176155,['0743246985'],Wild Swans: Three Daughters of China,Jung Chang,Harper Perennial,2004
0723247706,['0723247706'],The Tale of Peter Rabbit,Beatrix Potter,Warne,2002
0723249865,['0723247706'],Tale of Peter Rabbit,Beatrix Potter,Warne,2004
0723257043,['0723247706'],The Tale of Peter Rabbit: A Pop-up Adventure,Beatrix Potter,Warne,2006
0723258732,['0723247706'],The Tale of Peter Rabbit,Beatrix Potter,Warne,2006
0739339788,['0385504209'],The Da Vinci Code (Robert Langdon  #2),Dan Brown/Paul Michael,Random House Audio,2006
0743203968,['034580709X'],The Body Artist,Don DeLillo,Scribner,2002
0743243315,['0743243307'],Brick Lane,Monica Ali,Scribner,2004
0743271327,['0743271327'],Brokeback Mountain,Annie Proulx,Scribner,2005
0743437497,['0307743659'],The Shining,Stephen King,Gallery Books,2002
0743454553,['0743267648'],Vanishing Acts,Jodi Picoult,Washington Square Press,2005
0743470125,['0743470117'],Goodnight Nobody,Jennifer Weiner,Washington Square Press,2006
0743487583,['0141439475'],Frankenstein  or the Modern Prometheus,Mary Wollstonecraft Shelley/Margaret Brantley,Pocket Books,2004
0747562113,['0679439382'],The Little Friend,Donna Tartt,Bloomsbury,2002
0747573646,['0679439382'],The Little Friend,Donna Tartt,Bloomsbury,2007
0752864300,['0345404475'],Do Androids Dream Of Electric Sheep?,Philip K. Dick,Orion Paperbacks,2005
0753819317,['0143034901'],The Shadow of the Wind,Carlos Ruiz Zafón/Lucia Graves,Phoenix,2004
0763631604,['0763631604'],Beauty and the Beast,Max Eilenberg/Angela Barrett,Candlewick Press,2006
0767923227,['0767908171'],A Short History of Nearly Everything,Bill Bryson,Broadway Books,2005
0802789471,['0802789471'],Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,Walker & Company,2005
0805063897,['0805063889'],Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,Owl Books (Henry Holt),2002
