isbn_b,isbn_a,title,authors,publisher,publish_year
1419311743,['1400031346'],In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith/Lisette Lecat,Recorded Books  Inc.,2005
0142000272,['0143035002'],Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Penguin Books,2001
0142004235,['0140186395'],East of Eden,John Steinbeck,Penguin Books,2002
1421500493,"['1421500930', '1421500949', '1421500922']",The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,VIZ Media LLC,2005
1421501686,['1421501686'],Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,VIZ Media LLC,2005
1421501694,['1421501686'],Death Note  Vol. 2: Confluence (Death Note  #2),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,VIZ Media LLC,2005
1421501708,['1421501686'],Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,VIZ Media LLC,2006
1421501759,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2006
142150331X,['1421501686'],Death Note  Vol. 4: Love (Death Note  #4),Tsugumi Ohba/Alexis Kirsch,VIZ Media LLC,2006
1421504596,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2006
142150460X,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2006
1421504618,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2006
1421506262,['1421501686'],Death Note  Vol. 5: Whiteout (Death Note  #5),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,VIZ Media LLC,2006
1421506270,['1421501686'],Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,VIZ Media LLC,2006
1421506289,['1421501686'],Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,VIZ Media LLC,2006
1421506300,['1421501686'],Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,VIZ Media LLC,2007
142151155X,['1421501686'],Death Note  Vol. 10: Deletion (Death Note  #10),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,VIZ Media LLC,2007
1421808323,"['0451524934', '0452284236']",Nineteen Eighty-Four,George Orwell,1st World Library,2005
0142401757,['0142401757'],Dreamland,Sarah Dessen,Speak,2004
0142402494,['0670062766'],Pippi Longstocking,Astrid Lindgren/Florence Lamborn/Louis S. Glanzman,Puffin Books,2005
0142437050,['0763631612'],The Secret Garden,Frances Hodgson Burnett/Alison Lurie,Penguin Classics,2003
0142437182,['0142437182'],Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,Penguin Books,2002
0142437204,['0141441143'],Jane Eyre,Charlotte Brontë/Michael Mason,Penguin,2003
0143034758,['0143034758'],Alexander Hamilton,Ron Chernow,Penguin Books,2005
0143035002,['0143035002'],Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Penguin Classics,2004
0143035746,['0143035746'],The Liars' Club,Mary Karr,Penguin Books,2005
0143036238,['0141439513'],Pride & Prejudice,Jane Austen/Vivien Jones,Penguin Books,2005
0143036408,['0142001740'],The Secret Life of Bees,Sue Monk Kidd,Penguin Books,2005
0143036696,['0152010254'],The Mermaid Chair,Sue Monk Kidd,Penguin Books,2006
0143036939,['1594200580'],The City of Falling Angels,John Berendt,Penguin Books,2006
0143037145,['0670034169'],The Memory Keeper's Daughter,Kim Edwards,Penguin Books,2006
0143039857,['014038572X'],The Outsiders,S.E. Hinton/Jodi Picoult,Penguin Books,2006
0152018484,['0152018484'],How I Became a Pirate,Melinda Long/David Shannon,HMH Books for Young Readers,2003
156584100X,['0743296281'],Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,The New Press,1995
1565847253,"['0061965588', '0062397346']",A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,2003
1565848268,"['0061965588', '0062397346']",A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,2003
1577314808,['1577311523'],The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,New World Library,2004
1582348251,['043935806X'],Harrius Potter et Philosophi Lapis,J.K. Rowling/Peter Needham,Bloomsbury,2003
1587263882,['1402784066'],Robinson Crusoe,Daniel Defoe,Ann Arbor Media,2006
1591169208,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2005
1591169232,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2005
1591169259,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2005
1591169291,"['1591169208', '1591169232']",Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,VIZ Media LLC,2005
1591794641,['1604076585'],Mindfulness for Beginners,Jon Kabat-Zinn,Sounds True,2006
159307171X,['0812983580'],The Amazing Adventures of the Escapist: Volume 1,Michael Chabon/Glen David Gold/Bill Sienkiewicz/Howard Chaykin/Gene Colan/Steve Lieber/Eric Wight/Kevin  McCarthy,Dark Horse,2004
1593080115,['1402784066'],Robinson Crusoe,Daniel Defoe/L.J. Swingle,Barnes & Noble Classics,2003
1593081774,['0143035002'],Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,Barnes & Noble,2004
1593083246,"['0143036238', '0141439513']",Pride and Prejudice,Jane Austen/Carol Howard,Barnes  Noble Classics,2004
159413023X,['0316666343'],The Lovely Bones,Alice Sebold,Large Print Press,2004
1594481571,"['1594489424', '1573222992']",Plan B: Further Thoughts on Faith,Anne Lamott,Riverhead Books,2006
1594481938,['1573223018'],A Long Way Down,Nick Hornby,Riverhead Books,2006
1596590939,['0375501290'],The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan/Scott Brick,Your Coach Digital,2007
1596921536,['015602943X'],The Time Traveler's Wife,Audrey Niffenegger,MacAdam/Cage,2005
1598870548,['0374299196'],The Discomfort Zone: A Personal Journey,Jonathan Franzen,HighBridge Company,2006
1600962203,['0307949524'],House of Mirth,Edith Wharton,Waking Lion Press,2008
1841150509,"['0061433012', '0060099186']",The Patron Saint of Liars,Ann Patchett,HarperCollins Publishers,2003
1843544857,['0312283709'],Running with Scissors,Augusten Burroughs,Atlantic Books,2006
1844082938,['0307949524'],The House of Mirth,Edith Wharton/Nina Bawden,Virago,2006
1857988094,['031286504X'],I Am Legend,Richard Matheson,Millenium,1999
1862301387,['0399244816'],Redwall (Redwall  #1),Brian Jacques,Red Fox,2006
1904633277,['1402714580'],Little Women,Louisa May Alcott,Collector's Library,2004
2266144340,['0385504209'],Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,Pocket,2005
2743604913,['1570617481'],Moo,Jane Smiley,Rivages,1999
0307262995,"['0385349742', '0307262995']",Nature Girl,Carl Hiaasen,Alfred A. Knopf,2006
0307263118,"['1434265676', '0307263118', '037582913X']",The Sea,John Banville,Alfred A. Knopf,2005
0307264556,['0307264556'],I Feel Bad About My Neck: And Other Thoughts on Being a Woman,Nora Ephron,Knopf Publishing Group,2006
0307264602,['038549081X'],The Handmaid's Tale,Margaret Atwood/Valerie Martin,Everyman's Library,2006
0307264653,['0307264653'],Terrorist,John Updike,Knopf,2006
0307265439,['0307265439'],The Road,Cormac McCarthy,Alfred A. Knopf,2006
0307276902,['0307276902'],A Million Little Pieces,James Frey,Anchor Books,2005
0307281701,['0399501487'],Lord of the Flies,William Golding,Listening Library (Audio),2005
0307989135,"['0307295710', '0753464136']",The Christmas Story,Jane Werner Watson/Eloise Wilkin,Golden Books,2000
0312282990,['0812983580'],The Amazing Adventures of Kavalier & Clay,Michael Chabon,Picador USA,2001
0312306342,['0312651317'],Plum Lovin' (Stephanie Plum  #12.5),Janet Evanovich,St. Martin's Press,2007
0312424442,['0374281580'],I am Charlotte Simmons,Tom Wolfe,Picador USA,2005
