ISBN,Title,Author,Publisher,Publication Year,Subjects
0545540593,Sisters,"Telgemeier, Raina","Graphix, an imprint of Scholastic,",2014,Comic books strips
1423140605,The mark of Athena,"Riordan, Rick","Disney-Hyperion Books,",2012,Juvenile fiction Greek
0316228532,The casual vacancy,"Rowling, J. K.","Little, Brown & Co.,",2012,Fiction England
0545312841,There's a Fly Guy in my soup,"Arnold, Tedd","Cartwheel Books : An imprint of Scholastic Inc.,",2012,Juvenile
0399255370,The day the crayons quit,"Daywalt, Drew","Philomel Books,",2013,Juvenile fiction
0316225940,The wrong side of goodbye : a novel,"Connelly, Michael, 1956-","Little, Brown and Company,",2016,Fiction Los Angeles
0545222761,"Ride, Fly Guy, ride!","Arnold, Tedd","Cartwheel Books,",2012,Juvenile
0670026638,A tale for the time being,"Ozeki, Ruth L.","Viking,",2013,Fiction
1594488398,The interestings,"Wolitzer, Meg","Riverhead Books,",2013,Fiction
0802123414,H is for Hawk,"Macdonald, Helen, 1970-","Grove Press,",2014,Macdonald
0545540615,Ghosts,"Telgemeier, Raina","Graphix, an imprint of Scholastic,",2016,Comic books strips
1594200823,The omnivore's dilemma : a natural history of four meals,"Pollan, Michael","Penguin Press,",2006,Food
0385354282,The girl in the spider's web,"Lagercrantz, David.","A.A. Knopf,",2015,Fiction Sweden
1476729085,The Rosie project,"Simsion, Graeme C.","Simon & Schuster,",2013,Fiction
1501144022,Mrs. Fletcher : a novel,"Perrotta, Tom, 1961-","Scribner,",2017,Fiction
0544303164,The Turner house,"Flournoy, Angela,","Houghton Mifflin Harcourt,",2015,African
0062124269,Flight behavior : a novel,"Kingsolver, Barbara","Harper,",2012,Fiction
067443000X,Capital in the twenty-first century,"Piketty, Thomas, 1971-","The Belknap Press of Harvard University Press,",2014,Capital
0670012335,Llama Llama time to share,"Dewdney, Anna","Viking Juvenile,",2012,Juvenile fiction
0316176532,A god in ruins : a novel,"Atkinson, Kate","Little, Brown and Company,",2015,Great
1423140591,The son of Neptune,"Riordan, Rick","Disney/Hyperion Books,",2011,Juvenile fiction Greek
0743288785,Barkskins : a novel,"Proulx, Annie","Scribner,",2016,Families
1484716302,I will take a nap!,"Willems, Mo","Hyperion Books for Children,",2015,Juvenile fiction Fiction
0316017922,Outliers : the story of success,"Gladwell, Malcolm, 1963-","Little, Brown and Co.,",2008,Successful
0545010225,Harry Potter and the deathly hallows,"Rowling, J. K.","Arthur A. Levine Books,",2007,Juvenile fiction
1423151283,The duckling gets a cookie!?,"Willems, Mo","Hyperion Books for Children,",2012,Juvenile fiction Fiction
1419711326,Hard luck,"Kinney, Jeff","Amulet Books,",2013,Fiction
1101875941,Sweetbitter,"Danler, Stephanie,","Alfred A. Knopf,",2016,women Fiction
006218850X,The orchardist : a novel,"Coplin, Amanda","Harper,",2012,Fiction
0545935202,Dog Man unleashed,"Pilkey, Dav, 1966-","Graphix, an imprint of Scholastic,",2017,Comic books strips
0062065246,The round house,"Erdrich, Louise","Harper,",2012,Fiction Indian
0802125395,Difficult women,"Gay, Roxane","Grove Press,",2017,Short
1423146727,The House of Hades,"Riordan, Rick","Disney/Hyperion Books,",2013,Juvenile fiction Mythology
1423178289,The thank you book,"Willems, Mo","Hyperion Books for Children, an imprint of Disney Book Group,",2016,Juvenile fiction Fiction
0545007240,Hooray for Fly Guy!,"Arnold, Tedd","Scholastic,",2008,Flies
1501139886,The girl with the lower back tattoo,"Schumer, Amy.","Gallery Books,",2016,United States Biography
0375414495,Cutting for stone : a novel,"Verghese, A. (Abraham), 1955-","Alfred A. Knopf / Vintage Books,",2009,Fiction
0689845065,"Giggle, giggle, quack","Cronin, Doreen","Simon & Schuster Books for Young Readers,",2002,Ducks
1608198065,Can't we talk about something more pleasant?,"Chast, Roz","Bloomsbury,",2014,Comic books strips
1250012570,Eleanor & Park,"Rowell, Rainbow","St. Martin's Griffin,",2013,Juvenile fiction
1594633118,The paying guests,"Waters, Sarah, 1966-","Riverhead Books, a member of Penguin Group (USA),",2014,Fiction England London
0061728403,"Cat the cat, who is that?","Willems, Mo","Balzer & Bray,",2010,Cats
1101874279,A spool of blue thread : a novel,"Tyler, Anne","Alfred A. Knopf,",2015,Fiction
0399167064,Big little lies,"Moriarty, Liane","G.P. Putnam's Sons,",2014,Fiction
