ISBN,Title,Author,Publisher,Publication Year,Subjects
0316069418,The drop : a novel,"Connelly, Michael, 1956-","Little, Brown and Company,",2011,Fiction Los Angeles
0525426582,One plus one,"Moyes, Jojo, 1969-","Pamela Dorman Books/Viking,",2014,Single
031242440X,Gilead,"Robinson, Marilynne","Farrar, Straus and Giroux,",2004,Fiction of fiction
1416996745,Olivia goes to Venice,"Falconer, Ian, 1959-","Atheneum Books for Young Readers,",2010,Juvenile fiction Italy
0553524380,Sing it out,"Wooster, Devin Ann","Random House,",2015,Juvenile fiction
0062060554,Before I go to sleep : a novel,"Watson, S. J. (Steven J.)","Harper,",2011,Fiction
1501115065,My grandmother asked me to tell you she's sorry : a novel,"Backman, Fredrik, 1981-","Atria Books,",2015,Fiction
1465455825,Star wars. Rebel heroes,"Last, Shari","DK Publishing,",2017,Star Wars Juvenile
0316068047,The host : a novel,"Meyer, Stephenie, 1973-","Little, Brown and Co.,",2008,Spirit
0316069434,The black box : a novel,"Connelly, Michael, 1956-","Little, Brown and Co.,",2012,Fiction Los Angeles
0385384807,"Richard Scarry's busy, busy world","Scarry, Richard","Golden Books,",2015,Animals
1524732796,South and west : from a notebook,"Didion, Joan","Alfred A. Knopf,",2017,Social life and
045149380X,Heroes of the frontier : a novel,"Eggers, Dave","Alfred A Knopf,",2016,Fiction
0307700003,The Buddha in the attic,"Otsuka, Julie, 1962-","Alfred A. Knopf,",2011,Fiction
0316239879,The goldfinch [text (large print)],"Tartt, Donna","Little, Brown and Company,",2013,Fiction
037597363X,Richard Scarry's Smokey the fireman.,"Scarry, Richard","Random House,",2015,Fire fighters Juvenile
0451494628,Men without women : stories,"Murakami, Haruki, 1949-","Alfred A. Knopf,",2017,Life
0451493893,Celine : a novel,"Heller, Peter, 1959-","Alfred A. Knopf,",2017,Fiction
1481428950,Olivia and the pet project,"Forte, Lauren","Simon Spotlight,",2015,Juvenile fiction Dogs
0805061592,We're going on a lion hunt,0,"Holt,",2000,Juvenile
0545790352,Harry Potter and the sorcerer's stone,"Rowling, J. K.","Arthur A. Levine Books, an imprint of Scholastic Inc.,",2015,Juvenile fiction Fiction
0545741653,Sunny side up,"Holm, Jennifer L.","Graphix, an imprint of Scholastic,",2015,Comic books strips
0329910973,Belle the birthday fairy,"Meadows, Daisy","Scholastic,",2012,Juvenile fiction character
1451659164,The Oregon Trail : a new American journey,"Buck, Rinker, 1950-","Simon & Schuster,",2015,Oregon National Historic
0375837272,Dragon of the red dawn,"Osborne, Mary Pope","Random House,",2007,Juvenile fiction Fiction
0811856852,Ivy + Bean take care of the babysitter,"Barrows, Annie","Chronicle Books,",2008,Juvenile fiction
1328683788,"Tools of titans : the tactics, routines, and habits of billionaires, icons, and world-class performers","Ferriss, Timothy","Houghton Mifflin Harcourt,",2016,Self Psychology
0345452011,Garfield eats crow,"Davis, Jim, 1945 July 28-","Ballantine Books,",2003,Comic books strips
0375867295,Lunch Lady and the bake sale bandit. [5],"Krosoczka, Jarrett","Alfred A. Knopf,",2010,books strips etc
054568515X,Minecraft. Redstone handbook,"Farwell, Nick","Scholastic Inc.,",2014,Handbooks manuals
1451693567,The Museum of Extraordinary Things : a novel,"Hoffman, Alice","Scribner,",2014,New York Fiction
1455588229,Who thought this was a good idea? : and other questions you should have answers to when you work in the White House,"Mastromonaco, Alyssa, 1976-","Twelve,",2017,United States Obama
0345543009,Turbo twenty-three.,"Evanovich, Janet","Bantam,",2016,0
0545852021,Blossom the flower girl fairy,"Meadows, Daisy","Scholastic Inc.,",2016,Juvenile fiction Fiction
0805091742,The checklist manifesto : how to get things right,"Gawande, Atul","Metropolitan Books/Henry Holt,",2010,Medical
1101936800,Bubble trouble!,"Tillworth, Mary","Random House,",2016,Trucks Fiction Car
006200400X,Hooray for Amanda & her alligator!,"Willems, Mo","Balzer + Bray,",2011,Juvenile
1439138338,Nora Webster : a novel,"Tóibín, Colm, 1955-","Scribner,",2014,Fiction
1419721372,"Ada Twist, scientist","Beaty, Andrea","Abrams Books for Young Readers,",2016,Fiction Juvenile fiction
1465438181,The force awakens,"Fentiman, David","DK Publishing,",2016,Juvenile fiction fiction
0060542136,Fancy Nancy and the posh puppy,"O'Connor, Jane","HarperCollinsPublishers,",2007,Juvenile fiction
146543013X,Batman's missions,"Davies, Beth","DK Publishing,",2015,Juvenile fiction Superheroes
0553521721,The lost ship,0,"Random House,",2015,Juvenile fiction Thomas
076365809X,Twenty big trucks in the middle of the street,"Lee, Mark","Candlewick Press,",2013,Juvenile
1452109206,"Steam train, dream train","Rinker, Sherri Duskey","Chronicle Books,",2013,Juvenile fiction Animals
0385501129,The particular sadness of lemon cake : a novel,"Bender, Aimee","Doubleday,",2010,Fiction
0425281272,Silence fallen,"Briggs, Patricia","Ace,",2017,Fiction
1465429476,"Ninja, go!","March, Julia","DK Publishing,",2015,Ninja Juvenile fiction
0316015482,Children make terrible pets,"Brown, Peter, 1979-","Little, Brown,",2010,Pets Juvenile fiction
0345526082,Garfield cleans his plate,"Davis, Jim, 1945 July 28-","Ballantine,",2015,Comic books strips
0399157182,What Alice forgot,"Moriarty, Liane","G.P. Putnam's Sons,",2011,Fiction
125011117X,Behind her eyes,"Pinborough, Sarah, 1972-","Flatiron Books,",2017,Fiction fiction
0307596907,The woman upstairs : a novel,"Messud, Claire, 1966-","Alfred A. Knopf,",2013,Fiction
076363266X,Bink & Gollie,"DiCamillo, Kate","Candlewick Press,",2010,Friendship
1442487690,Tales from a not-so-dorky drama queen,"Russell, Rachel Renée","Aladdin,",2015,Juvenile fiction Fiction
0062334212,Amelia Bedelia chalks one up,"Parish, Herman","Greenwillow Books, an imprint of HarperCollinsPublishers,",2014,Juvenile fiction
0061235881,"Fancy Nancy : bonjour, butterfly","O'Connor, Jane","HarperCollins Childrens Books,",2008,Juvenile fiction
076366829X,Dinosaur rescue!,"Dale, Penny, 1954-","Nosy Crow, an imprint of Candelwick Press,",2013,Juvenile fiction Rescue
159990070X,Rapunzel's revenge,"Hale, Shannon","Bloomsbury,",2008,Comic books strips
1442449616,Tales from a not-so-smart Miss Know-It-All,"Russell, Rachel Renée","Aladdin,",2012,Fiction Juvenile fiction
146545859X,Team Batman,"Davies, Beth","DK Publishing,",2017,Fictitious Juvenile literature
0763634972,"Bink & Gollie, best friends forever","DiCamillo, Kate","Candlewick Press,",2013,Friendship
1597074039,"Thea Stilton. 1, The secret of Whale Island","Stilton, Thea","Papercutz,",2013,Comic books strips
1465434976,The LEGO movie. Meet Unikitty!,"Last, Shari","DK Publishing,",2015,LEGO Juvenile
1481436058,"Time for school, Charlie Brown","Testa, Maggie","Simon Spotlight,",2015,Fiction Juvenile Brown
0590631365,Captain Underpants and the attack of the talking toilets : the second epic novel,"Pilkey, Dav, 1966-","Blue Sky Press, an imprint of Scholastic,",1999,Juvenile fiction
0545103770,"Save the white whale! [text by Geronimo Stilton ; illustrations by Sara Copercini (pencils), Riccardo Sisti (ink) and Christian Aliprandi (color) ; translated by Lidia Tramontozzi].","Stilton, Geronimo","Scholastic,",2011,Juvenile fiction
0312655452,A trick of the light,"Penny, Louise","Minotaur Books,",2011,Fiction Qubec Province
1455586420,The guilty,"Baldacci, David","Grand Central Publishing,",2015,Assassins
0316247766,Hold still : a memoir with photographs,"Mann, Sally, 1951-","Little, Brown and Company,",2015,Mann Sally United
0763665134,The Princess in Black and the hungry bunny horde,"Hale, Shannon","Candlewick Press,",2016,Juvenile fiction
0670021040,Caleb's crossing,"Brooks, Geraldine","Viking,",2011,Fiction Indian
0545316154,A pet for Fly Guy,"Arnold, Tedd","Orchard Books,",2014,fiction Juvenile Pets
145558651X,No man's land,"Baldacci, David","Grand Central Pub,",2016,United
1465458611,Rise of the rogues,"Davies, Beth","DK Publishing,",2017,Juvenile literature LEGO
0439136350,Harry Potter and the prisoner of Azkaban,"Rowling, J. K.","Arthur A. Levine Books,",1999,Juvenile fiction Fiction
1465444750,Monster battles,"March, Julia","DK,",2016,Knights and knighthood
0544668251,Thing explainer : complicated stuff in simple words,"Munroe, Randall","Houghton Mifflin Harcourt,",2015,Science
0062006428,Little white rabbit/ Kevin Henkes.,"Henkes, Kevin","Greenwillow Books,",2011,Juvenile fiction
0375974091,Aaron is a good sport,"Eastman, P. D. (Philip D.)","Random House,",2015,Fiction Ability Sports
1501134256,The course of love : a novel,"De Botton, Alain","Simon & Schuster,",2016,Fiction
0060283246,If you give a cat a cupcake,"Numeroff, Laura Joffe","Laura Geringer Books,",2008,Cats
147675666X,We are not ourselves,"Thomas, Matthew, 1975-","Simon & Schuster,",2014,History Fiction 20th
0545823366,The hour of magic : the eighth adventure in the kingdom of fantasy,"Stilton, Geronimo","Scholastic Inc.,",2016,Juvenile fiction Fiction
0736428593,"Happy birthday, princess!","Weinberg, Jennifer, 1970-","Random House,",2012,Juvenile
0525952926,Winter of the world,"Follett, Ken","Dutton,",2012,Fiction century History
0763622702,Mercy Watson to the rescue,"DiCamillo, Kate","Candlewick Press,",2005,Juvenile fiction Fiction
0312642970,Cress,"Meyer, Marissa","Feiwel and Friends,",2014,Fiction
159643967X,Noisy night,"Barnett, Mac","Roaring Brook Press,",2017,Fiction Juvenile Night
1627790527,A fighting chance,"Warren, Elizabeth","Metropolitan, Henry Holt and Company,",2014,United States Biography
0307593312,1Q84,"Murakami, Haruki, 1949-","Alfred A. Knopf,",2011,Man
0765316994,Redshirts,"Scalzi, John, 1969-","Tor,",2012,Fiction
1627795391,"Listen, Liberal, or, What ever happened to the party of the people?","Frank, Thomas, 1965-","Metropolitan Books, Henry Holt and Company,",2016,United States Political
0374273537,Thank you for being late : an optimist's guide to thriving in the age of accelerations,"Friedman, Thomas L.","Farrar, Straus and Giroux,",2016,Social aspects
1423160924,The hammer of Thor,"Riordan, Rick","Disney-Hyperion,",2016,Juvenile fiction Mythology
0062001779,Fancy Nancy and the mean girl,"O'Connor, Jane","HarperCollins,",2011,Juvenile fiction
0618473106,Snow sounds : an onomatopoeic story,"Johnson, David, 1951 February 18-","Houghton Mifflin Company,",2006,Juvenile
1250120616,This fight is our fight : the battle to save America's middle class,"Warren, Elizabeth","Metropolitan Books, Henry Holt and Company,",2017,United States 21st
1416958568,Bear says thanks,"Wilson, Karma","Margaret K. McElderry Books,",2012,Juvenile fiction
1101987499,I let you go,"Mackintosh, Clare.","Berkley Books,",2016,Fiction
0060254920,Where the wild things are,"Sendak, Maurice","Harper Collins,",1991,Fantasy
0061692042,Canada,"Ford, Richard, 1944-","Ecco Press,",2012,Fiction Canada United
1627795944,The north water : a novel,"McGuire, Ian.","Henry Holt and Company,",2016,Fiction Whaling
1484726359,We are growing!,"Keller, Laurie","Hyperion Books for Children, an imprint of Disney Book Group,",2016,fiction Growth Fiction
1400069599,Transatlantic : a novel,"McCann, Colum, 1965-","Random House,",2013,Transatlantic
030759565X,The smitten kitchen cookbook,"Perelman, Deb","Alfred A. Knopf,",2012,Cooking
0345525876,Garfield takes his licks,"Davis, Jim, 1945 July 28-","Ballantine,",2012,Comic books strips
076369603X,Triangle,"Barnett, Mac","Candlewick Press,",2017,Triangle Juvenile fiction
1338087789,Geronimo Stilton. The hunt for the hundredth key : plus a bonus mini mystery and cheesy jokes!,"Stilton, Geronimo","Scholastic Inc.,",2017,Juvenile fiction
0802125867,The old man,"Perry, Thomas, 1947-","The Mysterious Press,",2017,Fiction Vermont
068982954X,Olivia saves the circus,"Falconer, Ian, 1959-","Atheneum Books for Young Readers,",2001,Fiction
0062090143,The name of the game,"Hsu Lin, Amy","Harper,",2012,Juvenile fiction
0446580260,The geography of bliss : one grump's search for the happiest places in the world,"Weiner, Eric, 1963-","Twelve,",2008,Weiner
0375846832,Lunch Lady and the cyborg substitute. [1],"Krosoczka, Jarrett","Alfred A. Knopf,",2009,Comic books strips
0545150590,Thea Stilton and the ghost of the shipwreck,"Stilton, Thea","Scholastic,",2010,Juvenile fiction Stilton
0061702269,"Mittens, where is Max?","Schaefer, Lola M., 1950-","Harper,",2011,Juvenile fiction
1423103009,"City Dog, Country Frog","Willems, Mo","Hyperion Books for Children,",2010,Fiction Juvenile
0061703745,The 100th day of school,"O'Connor, Jane","HarperCollins,",2009,Juvenile fiction
0735213585,Hallelujah anyway : rediscovering mercy,"Lamott, Anne","Riverhead Books,",2017,Mercy
1101946806,The Templars' last secret,"Walker, Martin, 1947 January 23-","Alfred A. Knopf,",2017,Fiction France Southwest
0312377045,Bury your dead,"Penny, Louise","Minotaur Books,",2010,Fiction Qubec Province
0375860959,Lunch Lady and the summer camp shakedown. [4],"Krosoczka, Jarrett","Alfred A. Knopf,",2010,books strips etc
0374106681,The last painting of Sara De Vos,"Smith, Dominic, 1971-","Sarah Crichton Books,",2016,Fiction Art
0544734092,The Wangs vs. the world,"Chang, Jade, 1975-","Houghton Mifflin Harcourt,",2016,families Fiction
1596434473,Legends of Zita the spacegirl,"Hatke, Ben","First Second : Distribted by Macmillan Children's Books,",2012,books strips Comic
1570614830,Larry gets lost in Seattle,"Skewes, John","Sasquatch Books,",2007,Juvenile Seattle literature
1608867374,"Lumberjanes. [2], Friendship to the max","Stevenson, Noelle","BOOM! Box,",2015,Comic books strips
031632468X,Frog music : a novel,"Donoghue, Emma, 1969-","Little, Brown and Company,",2014,Fiction
133805502X,Rosalie the Rapunzel fairy,"Meadows, Daisy","Scholastic Inc.,",2017,Juvenile fiction Fictitious
0394822862,Bears in the night,"Berenstain, Stan, 1923-2005","Random House,",2002,Juvenile fiction Bears
076366510X,The Princess in Black,"Hale, Shannon","Candlewick Press,",2014,Juvenile fiction
1481452576,Daniel gets scared,"Testa, Maggie","Simon Spotlight,",2015,Juvenile fiction
0385353774,City on fire,"Hallberg, Garth Risk.","Alfred A. Knopf,",2015,Fiction
0763666211,"Peck, peck, peck","Cousins, Lucy","Candlewick Press,",2013,Juvenile
1481403664,Friends help each other,"McDoogle, Farrah","Simon Spotlight,",2014,Fiction Juvenile Friendship
0329906178,The mystery in Venice,"Stilton, Geronimo","Scholastic,",2012,Juvenile fiction stories
0763623326,Mercy Watson goes for a ride,"DiCamillo, Kate","Candlewick Press,",2006,Juvenile fiction
0545499089,The adventures of Captain Underpants,"Pilkey, Dav, 1966-","Scholastic Inc.,",2013,Juvenile fiction
0670014281,Froggy gets a doggy,"London, Jonathan, 1947-","Viking, published by Penguin Group,",2014,Juvenile fiction
1250007208,Cinder,"Meyer, Marissa","Square Fish,",2013,Juvenile fiction fiction
0439241022,How do dinosaurs eat their food?,"Yolen, Jane","Blue Sky Press,",2005,Fiction Juvenile
1465428445,Star wars rebels. Beware the Inquisitor,"Stock, Lisa","DK Publishing,",2015,Juvenile fiction
0062305166,Lulu and the witch baby,"O'Connor, Jane","Harper, an imprint of HarperCollinsPublishers,",2014,Witches
0763632651,Mercy Watson thinks like a pig,"DiCamillo, Kate","Candlewick Press,",2008,Juvenile fiction
0545851955,Faith the Cinderella fairy,"Meadows, Daisy","Scholastic Inc.,",2016,Juvenile fiction character
0394800281,The big honey hunt,"Berenstain, Stan, 1923-2005","Beginner Books,",2002,Juvenile fiction Bears
0545746183,Back in time : the second journey through time,"Stilton, Geronimo","Scholastic, Inc.,",2015,fiction Juvenile
0062095269,Amelia Bedelia hits the trail,"Parish, Herman","Greenwillow Books,",2013,Juvenile fiction
1594204993,Redeployment,"Klay, Phil","The Penguin Press,",2014,War Fiction
0375831002,The book thief,"Zusak, Markus","Alfred A. Knopf,",2006,Juvenile fiction 1945
0545791510,The hunt for the curious cheese : plus a bonus mini mystery and cheesy jokes!,"Stilton, Geronimo","Scholastic Inc.,",2015,Juvenile fiction
0374104093,Annihilation,"VanderMeer, Jeff","Farrar, Straus and Giroux,",2014,fiction Fiction
0545776430,Spunky little monkey,"Martin, Bill, 1916-2004,","Scholastic Press,",2017,Monkeys Juvenile fiction
0375837299,Monday with a mad genius,"Osborne, Mary Pope","Random House,",2007,Juvenile fiction Fiction
0439049970,Captain Underpants and the perilous plot of Professor Poopypants : the fourth epic novel,"Pilkey, Dav, 1966-","Blue Sky Press,",2000,Juvenile fiction
0316407070,15th affair,"Patterson, James, 1947-","Little, Brown and Company,",2016,Fiction Murder San
1626725896,Bad Kitty takes the test,"Bruel, Nick","Roaring Brook Press,",2017,Fiction Cats Juvenile
0316154857,When will there be good news? : a novel,"Atkinson, Kate","Little, Brown and Co.,",2008,Fiction
0618756612,Mr. Wuffles!,"Wiesner, David","Clarion Books, Houghton Mifflin Harcourt,",2013,Juvenile fiction
0152001921,Counting crocodiles,"Sierra, Judy","Harcourt Brace,",1997,Folklore Juvenile literature
0811849031,Ivy + Bean,"Barrows, Annie","Chronicle Books,",2006,Friendship
0670874582,"ABC, I like me!","Carlson, Nancy L.","Viking,",1997,Juvenile literature Alphabet
0349407762,The obsession,"Roberts, Nora","Berkley Books,",2016,Fiction
0545669936,Minecraft essential handbook,"Milton, Stephanie","Scholastic Inc.,",2014,Handbooks manuals etc
0345464680,Garfield makes it big,"Davis, Jim, 1945 July 28-","Ballantine Books,",2005,Comic books strips
0545668344,The game of Love and Death,"Brockenbrough, Martha","Arthur A. Levine Books, an imprint of Scholastic Inc.,",2015,Juvenile fiction Fiction
0451494091,"A really good day : how microdosing made a mega difference in my mood, my marriage, and my life","Waldman, Ayelet","Alfred A. Knopf,",2017,Manic depressive Health
0312642962,Scarlet,"Meyer, Marissa","Feiwel and Friends,",2013,Juvenile fiction
1250049377,Landline,"Rowell, Rainbow","St. Martin's Press,",2014,Fiction
0374236445,Poser : my life in twenty-three yoga poses,"Dederer, Claire, 1967-","Farrar, Straus and Giroux,",2011,Dederer
0670018864,The likeness,"French, Tana","Viking,",2008,Fiction
1616200391,The revised fundamentals of caregiving : a novel,"Evison, Jonathan","Algonquin Books of Chapel Hill,",2012,Caregivers
0439049954,Captain Underpants and the invasion of the incredibly naughty cafeteria ladies from outer space (and the subsequent assault of the equally evil lunchroom zombie nerds) : the third epic novel,"Pilkey, Dav, 1966-","Blue Sky Press,",1999,Juvenile fiction Fiction
0312642989,Winter,"Meyer, Marissa","Feiwel and Friends,",2015,Fiction Juvenile fiction
0374282102,Universal harvester,"Darnielle, John","Farrar, Straus and Giroux,",2017,Fiction
0545227747,Thea Stilton and the star castaways,"Stilton, Thea","Scholastic,",2011,Juvenile fiction
0316184055,Ling & Ting share a birthday,"Lin, Grace","Little, Brown & Co.,",2013,Juvenile fiction Chinese
145161747X,The dovekeepers : a novel,"Hoffman, Alice","Scribner,",2011,Fiction Israel fiction
1439152802,The secret keeper : a novel,"Morton, Kate, 1976-","Atria Books,",2012,Fiction
0545851890,Julia the Sleeping Beauty fairy,"Meadows, Daisy","Scholastic Inc.,",2016,Juvenile fiction character
034552554X,The language of flowers : a novel,"Diffenbaugh, Vanessa","Ballantine Books,",2011,Fiction
0763642541,Maisy goes to preschool,"Cousins, Lucy","Candlewick Press,",2009,Juvenile fiction Fiction
1594487340,Sweet thunder,"Doig, Ivan","Riverhead Books,",2013,Fiction
160774418X,Ottolenghi : the cookbook,"Ottolenghi, Yotam","Ten Speed Press,",2013,Cooking Ottolenghi
1455584215,It's all easy : delicious weekday recipes for the super-busy home cook,"Paltrow, Gwyneth, 1972-","Grand Central Life & Style,",2016,Quick
1250121027,One day we'll all be dead and none of this will matter,"Koul, Scaachi","Picador,",2017,Biography East Canada
0307700119,The cat's table,"Ondaatje, Michael, 1943-","Alfred A. Knopf,",2011,Ocean
0307594173,God help the child,"Morrison, Toni","Alfred A. Knopf,",2015,Fiction
0385738773,The death cure,"Dashner, James, 1972-","Delacorte Press,",2011,Survival Juvenile fiction
0545481872,Thea Stilton and the dancing shadows,"Stilton, Thea","Scholastic Inc.,",2013,Juvenile fiction
1596434023,A sick day for Amos McGee,"Stead, Philip Christian","Roaring Brook,",2010,Zoo Juvenile
1465429492,Power up!,"March, Julia","DK Publishing,",2015,fiction Fiction Juvenile
0545835364,The cloud castle,"Stilton, Thea","Scholastic Inc.,",2015,Juvenile fiction
0763658839,Maisy goes on a sleepover,"Cousins, Lucy","Candlewick Press,",2012,Juvenile fiction
1451698852,Doctor Sleep : a novel,"King, Stephen, 1947-","Scribner,",2013,Fiction
1476745005,Moving target : a novel,"Jance, Judith A.","Simon & Schuster,",2014,Fiction
0670061980,Llama Llama misses Mama,"Dewdney, Anna","Viking,",2009,Juvenile fiction Fiction
0316069485,The reversal : a novel,"Connelly, Michael, 1956-","Little, Brown,",2010,Fiction Los Angeles
039955906X,Poppy's party,"Berrios, Frank","Random House,",2016,Trolls Juvenile fiction
1451664125,In one person : a novel,"Irving, John, 1942-","Simon & Schuster,",2012,Fiction Vermont Nineteen
1465433899,Journey through space,"Windham, Ryder","DK Publishing,",2015,fiction Juvenile Planets
125007696X,Six of crows,"Bardugo, Leigh","Henry Holt and Company,",2015,Brigands
1616203048,Descent : a novel,"Johnston, Tim, 1962-","Algonquin Books of Chapel Hill,",2015,Fiction fiction
1416980067,Dork diaries : tales from a not-so-fabulous life,"Russell, Rachel Renée","Aladdin,",2009,Juvenile fiction Fiction
1465419888,Fight the Empire,"Fentiman, David","DK Publishing,",2015,Fiction fiction Juvenile
1250096987,Edgar and Lucy,"Lodato, Victor","St. Martin's Press,",2017,Fiction
0763674974,Poppy the pirate dog and the missing treasure,"Kessler, Liz","Candlewick Press,",2015,Juvenile fiction Fiction
0763625906,Mercy Watson fights crime,"DiCamillo, Kate","Candlewick Press,",2006,Juvenile fiction
0385509456,The curious incident of the dog in the night-time,"Haddon, Mark, 1962-","Doubleday,",2003,Juvenile fiction
1501100076,Finders keepers : a novel,"King, Stephen, 1947-","Scribner,",2015,Fiction
1416980083,Tales from a not-so-popular party girl,"Russell, Rachel Renée","Aladdin,",2010,Juvenile fiction
1338032917,The wizard's wand : the ninth adventure in the Kingdom of Fantasy,"Stilton, Geronimo","Scholastic Inc.,",2016,Juvenile fiction Fiction
0670023485,Shadow of night,"Harkness, Deborah E., 1965-","Viking,",2012,Fiction
0545448689,The Marvels,"Selznick, Brian","Scholastic Press,",2015,England London Fiction
0763620254,Stink : the incredible shrinking kid,"McDonald, Megan","Candlewick Press,",2005,Juvenile fiction Fiction
1101946105,The year of the runaways,"Sahota, Sunjeev, 1981-","Alfred A. Knopf,",2016,Fiction England Sheffield
0545746140,The treasure of Easter Island,"Stilton, Geronimo","Scholastic Inc.,",2015,Juvenile fiction Fiction
1439172560,The first bad man : a novel,"July, Miranda, 1974-","Scribner,",2015,Middle
076538888X,The collapsing empire,"Scalzi, John, 1969-","Tor,",2017,Fiction
1476762627,Primates of Park Avenue : a memoir,"Martin, Wednesday","Simon & Schuster,",2015,New York N
0316069353,The fifth witness : a novel,"Connelly, Michael, 1956-","Little, Brown and Company,",2011,Fiction Los Angeles
054533134X,Thea Stilton and the ice treasure,"Stilton, Thea","Scholastic,",2011,Juvenile fiction
0142402516,Looking for Alaska,"Green, John, 1977-","Speak,",2007,Juvenile fiction Boarding
0670012610,"Young Cam Jansen and the knock, knock mystery","Adler, David A.","Penguin Young Readers, an imprint of Penguin Group (USA) LLC,",2014,Juvenile fiction
0763661317,Monkey and Elephant and a secret birthday surprise,"Schaefer, Carole Lexa","Candlewick Press,",2015,Juvenile fiction parties
0062392174,The crown,"Cass, Kiera","HarperTeen, An Imprint of HarperCollinsPublishers,",2016,Juvenile fiction Fiction
1594486107,On such a full sea,"Lee, Chang-rae","Riverhead Books, a member of Penguin Group (USA),",2014,Fiction
1410450953,Gone girl [text (large print)],"Flynn, Gillian, 1971-","Thorndike Press,",2012,Fiction
0307959945,The dog stars,"Heller, Peter, 1959-","Alfred A. Knopf,",2012,Fiction
1936608898,It starts with food,"Hartwig, Dallas","Victory Belt Pub. ; Publishers Group UK [distributor],",2012,Popular works
0399168915,Escape clause,"Sandford, John, 1944 February 23-","G.P. Putnam's Sons,",2016,Fiction
0763663077,How to train a train,"Eaton, Jason Carter","Candlewick Press,",2013,Juvenile fiction Pets
1400042666,Stumbling on happiness,"Gilbert, Daniel Todd","A.A. Knopf,",2006,Happiness
1465437932,LEGO Star wars. Free the galaxy,"Khatreja, Himani,","DK Publishing,",2015,Star Wars films
0547790449,The little house,"Burton, Virginia Lee, 1909-1968","Houghton Mifflin Harcourt,",2012,Juvenile
0545851904,Eleanor the Snow White fairy,"Meadows, Daisy","Scholastic Inc.,",2016,Juvenile fiction character
0670063177,Max & Ruby's treasure hunt,"Wells, Rosemary","Viking,",2012,Juvenile fiction
0061915262,Aspiring artist,"O'Connor, Jane","Harper,",2011,Juvenile fiction
1501116843,Midnight at the Bright Ideas Bookstore : a novel,"Sullivan, Matthew, 1970-","Scribner,",2017,Bookstores
0763692557,Maisy goes to the local bookstore,"Cousins, Lucy","Candlewick Press,",2017,and Juvenile fiction
030794980X,Saints for all occasions,"Sullivan, J. Courtney","Alfred A. Knopf,",2017,Sisters
1250049555,Carry on : the rise and fall of Simon Snow,"Rowell, Rainbow","St. Martin's Griffin,",2015,Fiction Juvenile fiction
0547939744,Language arts,"Kallos, Stephanie","Houghton Mifflin Harcourt,",2015,Fiction
1484728203,5-minute Star Wars stories.,0,"Disney Lucasfilm Press,",2015,fiction Juvenile Imaginary
1596436719,Bad Kitty. Drawn to trouble,"Bruel, Nick","Roaring Brook Press,",2014,Juvenile fiction
054510372X,The peculiar pumpkin thief,"Stilton, Geronimo","Scholastic,",2010,Juvenile fiction
1484713788,Ballet Cat : the totally secret secret,"Shea, Bob","Disney/Hyperion,",2015,Juvenile fiction Fiction
0316200603,"The witches : Salem, 1692","Schiff, Stacy","Little, Brown and Company,",2015,Salem Massachusetts History
0618663029,The queen of the night,"Chee, Alexander","Houghton Mifflin Harcourt,",2016,Fiction
0545851963,Lacey the Little Mermaid fairy,"Meadows, Daisy","Scholastic Inc.,",2016,Juvenile fiction character
0345491696,Garfield rounds out : his 16th book,"Davis, Jim, 1945 July 28-","Ballantine ; Publishers Group UK [distributor],",2008,Comic books strips
0545270383,Pia the penguin fairy,"Meadows, Daisy","Scholastic,",2011,Fictitious character Juvenile
0375971785,I like fish,"Brown, Margaret Wise, 1910-1952","Random House,",2014,Fishes
0375860940,Lunch Lady and the author visit vendetta. [3],"Krosoczka, Jarrett","Alfred A. Knopf,",2009,Comic books strips
0545605393,Bailey the Babysitter Fairy,"Meadows, Daisy","Scholastic,",2014,Juvenile fiction Fictitious
0374299250,Lush life,"Price, Richard, 1949-","Farrar, Straus and Giroux,",2008,Fiction
1616551909,"Avatar, the last airbender. The search. Part two","Yang, Gene Luen","Dark Horse Books,",2013,books strips Comic
0345803493,Fifty shades darker,"James, E. L.","Vintage Books,",2012,Fiction
006194436X,Big Nate strikes again,"Peirce, Lincoln","Harper,",2010,Fiction Juvenile fiction
0763641685,Interrupting chicken,"Stein, David Ezra","Candlewick Press,",2010,Juvenile fiction
0763628344,Stink and the world's worst super-stinky sneakers,"McDonald, Megan","Candlewick Press,",2007,Juvenile fiction
1609452860,The story of the lost child,"Ferrante, Elena","Europa Editions,",2015,Fiction Italy
0375810390,The tooth book,"LeSieg, Theo., 1904-1991","Random House,",2000,Juvenile
1484722868,Nanette's baguette,"Willems, Mo","Hyperion Books for Children, an imprint of Disney Book Group,",2016,Juvenile fiction Fiction
0060283262,If you give a pig a party,"Numeroff, Laura Joffe","Laura Geringer Books,",2005,Pigs
1481470086,How to be a boss,"Gallo, Tina","Simon Spotlight,",2017,Humorous stories
159643774X,This one summer,"Tamaki, Mariko","First Second,",2014,Comic books strips
1338055054,Ruth the Red Riding Hood Fairy,"Meadows, Daisy","Scholastic Inc.,",2017,Juvenile fiction Fictitious
1607066920,Saga. [Volume two],"Vaughan, Brian K.","Image,",2013,books strips etc
1439142009,The flamethrowers : a novel,"Kushner, Rachel","Scribner,",2013,Fiction
1250039576,The lonely city : adventures in the art of being alone,"Laing, Olivia","Picador,",2016,Artists
